Constituency,Turnout%,Elected Member,Party,Margin
Kasaragod,80.66,Rajmohan Unnithan,INC,40438
Kannur,83.28,K. Sudhakaran,INC,94559
Vatakara,82.70,K. Muraleedharan,INC,84663
Wayanad,80.37,Rahul Gandhi,INC,431770
Kozhikode,81.70,M. K. Raghavan,INC,85225
Malappuram,75.50,P. K. Kunhalikutty,IUML,260153
Ponnani,74.98,E. T. Mohammed Basheer,IUML,193273
Palakkad,77.77,V. K. Sreekandan,INC,11637
Alathur,80.47,Ramya Haridas,INC,158968
Thrissur,77.94,T. N. Prathapan,INC,93633
Chalakudy,80.51,Benny Behanan,INC,132274
Ernakulam,77.64,Hibi Eden,INC,169153
Idukki,76.36,Dean Kuriakose,INC,171053
Kottayam,75.47,Thomas Chazhikadan,KC(M),106259
Alappuzha,80.35,A. M. Ariff,CPI(M),10474
Mavelikkara,74.33,Kodikunnil Suresh,INC,61138
Pathanamthitta,74.30,Anto Antony,INC,44243
Kollam,74.73,N. K. Premachandran,RSP,148856
Attingal,74.48,Adoor Prakash,INC,38247
Thiruvananthapuram,73.74,Shashi Tharoor,INC,99989
